date,value
5/1/1994,102.7581
6/1/1994,101.5673
7/1/1994,99.8804
8/1/1994,100.5467
9/1/1994,101.5406
10/1/1994,102.2951
11/1/1994,101.8408
12/1/1994,103.8577
1/1/1995,102.6684
2/1/1995,104.3949
3/1/1995,101.4128
4/1/1995,101.4635
5/1/1995,101.8574
6/1/1995,101.0789
7/1/1995,99.0841
8/1/1995,99.0508
9/1/1995,98.5829
10/1/1995,98.6565
11/1/1995,101.1818
12/1/1995,100.3306
1/1/1996,99.7987
2/1/1996,101.0512
3/1/1996,100.9694
4/1/1996,99.0121
5/1/1996,98.2419
6/1/1996,99.2287
7/1/1996,97.3823
8/1/1996,97.7246
9/1/1996,99.5948
10/1/1996,99.5803
11/1/1996,99.498
12/1/1996,99.9655
1/1/1997,98.3693
2/1/1997,100.0931
3/1/1997,99.137
4/1/1997,98.972
5/1/1997,99.4789
6/1/1997,98.9794
7/1/1997,98.4829
8/1/1997,97.5307
9/1/1997,99.659
10/1/1997,99.3732
11/1/1997,99.2529
12/1/1997,100.3564
1/1/1998,100.5018
2/1/1998,99.5075
3/1/1998,98.4624
4/1/1998,99.6136
5/1/1998,97.5265
6/1/1998,96.302
7/1/1998,95.1796
8/1/1998,95.3062
9/1/1998,88.9503
10/1/1998,94.3806
11/1/1998,94.3391
12/1/1998,92.8559
1/1/1999,91.6196
2/1/1999,91.6619
3/1/1999,90.3777
4/1/1999,90.4667
5/1/1999,90.2709
6/1/1999,88.5307
7/1/1999,89.1068
8/1/1999,88.8309
9/1/1999,89.202
10/1/1999,91.3898
11/1/1999,91.6002
12/1/1999,91.5689
1/1/2000,88.8893
2/1/2000,89.9277
3/1/2000,90.9527
4/1/2000,89.9672
5/1/2000,89.8531
6/1/2000,89.4919
7/1/2000,88.2078
8/1/2000,88.968
9/1/2000,88.4911
10/1/2000,89.2779
11/1/2000,89.6408
12/1/2000,89.985
1/1/2001,89.123
2/1/2001,88.8331
3/1/2001,90.373
4/1/2001,90.1015
5/1/2001,89.5916
6/1/2001,88.6136
7/1/2001,88.3501
8/1/2001,87.993
9/1/2001,87.7408
10/1/2001,88.3115
11/1/2001,90.3883
12/1/2001,90.4819
1/1/2002,90.2664
2/1/2002,90.3818
3/1/2002,90.4566
4/1/2002,89.821
5/1/2002,90.7528
6/1/2002,90.4353
7/1/2002,88.3821
8/1/2002,89.0739
9/1/2002,83.1627
10/1/2002,82.3487
11/1/2002,86.4268
12/1/2002,87.9355
1/1/2003,88.4513
2/1/2003,88.876
3/1/2003,89.1924
4/1/2003,87.9987
5/1/2003,87.0407
6/1/2003,86.9731
7/1/2003,84.5034
8/1/2003,85.6613
9/1/2003,86.2021
10/1/2003,86.2716
11/1/2003,85.2418
12/1/2003,85.6238
1/1/2004,85.8304
2/1/2004,85.6289
3/1/2004,86.3174
4/1/2004,85.4522
5/1/2004,85.3851
6/1/2004,83.0952
7/1/2004,84.2805
8/1/2004,81.8313
9/1/2004,78.1028
10/1/2004,79.465
11/1/2004,83.3515
12/1/2004,84.6834
1/1/2005,83.7003
2/1/2005,84.5474
3/1/2005,86.0721
4/1/2005,85.4853
5/1/2005,84.629
6/1/2005,83.6246
7/1/2005,80.7255
8/1/2005,79.8899
9/1/2005,64.7959
10/1/2005,70.0275
11/1/2005,74.6616
12/1/2005,76.6704
1/1/2006,77.5835
2/1/2006,77.338
3/1/2006,77.2618
4/1/2006,78.0977
5/1/2006,79.1559
6/1/2006,79.3437
7/1/2006,78.2896
8/1/2006,77.4531
9/1/2006,77.3136
10/1/2006,78.5006
11/1/2006,77.8246
12/1/2006,79.6982
1/1/2007,78.4959
2/1/2007,78.6507
3/1/2007,78.6724
4/1/2007,79.6096
5/1/2007,80.0867
6/1/2007,77.9959
7/1/2007,77.426
8/1/2007,76.3776
9/1/2007,75.3393
10/1/2007,77.1829
11/1/2007,77.3677
12/1/2007,78.5475
1/1/2008,78.6199
2/1/2008,79.131
3/1/2008,79.7618
4/1/2008,79.6233
5/1/2008,79.0554
6/1/2008,78.9797
7/1/2008,79.5818
8/1/2008,76.9113
9/1/2008,60.9813
10/1/2008,72.7737
11/1/2008,78.0311
12/1/2008,78.4179
1/1/2009,78.9641
2/1/2009,80.4747
3/1/2009,80.0694
4/1/2009,81.1448
5/1/2009,82.6268
6/1/2009,80.9552
7/1/2009,82.9206
8/1/2009,83.1704
9/1/2009,85.4523
10/1/2009,84.8308
11/1/2009,82.7085
12/1/2009,83.6406
1/1/2010,82.8886
2/1/2010,85.3248
3/1/2010,84.6772
4/1/2010,82.7844
5/1/2010,82.9151
6/1/2010,82.7532
7/1/2010,81.4937
8/1/2010,83.6856
9/1/2010,86.2915
10/1/2010,86.4411
11/1/2010,85.6213
12/1/2010,86.1634
1/1/2011,84.4668
2/1/2011,83.0401
3/1/2011,86.3079
4/1/2011,85.3975
5/1/2011,86.3314
6/1/2011,85.8004
7/1/2011,83.5255
8/1/2011,86.9308
9/1/2011,85.8804
10/1/2011,90.5414
11/1/2011,92.3169
12/1/2011,92.7918
1/1/2012,94.773
2/1/2012,96.0774
3/1/2012,96.9254
4/1/2012,96.8543
5/1/2012,97.7059
6/1/2012,96.4381
7/1/2012,98.7754
8/1/2012,97.3527
9/1/2012,100.9649
10/1/2012,106.848
11/1/2012,108.2441
12/1/2012,109.0409
1/1/2013,108.0645
2/1/2013,109.9059
3/1/2013,110.8859
4/1/2013,113.1561
5/1/2013,112.5607
6/1/2013,111.8153
7/1/2013,115.1254
8/1/2013,115.8771
9/1/2013,119.7576
10/1/2013,118.4588
11/1/2013,121.1252
12/1/2013,121.5311
1/1/2014,123.865
2/1/2014,125.1794
3/1/2014,127.3125
4/1/2014,131.9026
5/1/2014,132.512
6/1/2014,134.1295
7/1/2014,135.1254
8/1/2014,136.7149
9/1/2014,139.1044
10/1/2014,141.8698
11/1/2014,143.1369
12/1/2014,145.6623
1/1/2015,144.4017
2/1/2015,146.3379
3/1/2015,147.3707
4/1/2015,148.4751
5/1/2015,145.6176
6/1/2015,143.7822
7/1/2015,145.0971
8/1/2015,144.6443
9/1/2015,145.5547
10/1/2015,144.4476
11/1/2015,143.3597
12/1/2015,142.3398
1/1/2016,141.5058
2/1/2016,139.3171
3/1/2016,139.7206
4/1/2016,136.4113
5/1/2016,135.7673
6/1/2016,133.4092
7/1/2016,132.8634
8/1/2016,133.4037
9/1/2016,131.0739
10/1/2016,135.2004
11/1/2016,136.7545
12/1/2016,135.0579
1/1/2017,136.0151
2/1/2017,139.7616
3/1/2017,140.6347
4/1/2017,139.7818
5/1/2017,141.0662
6/1/2017,139.6258
7/1/2017,142.0304
8/1/2017,142.2278
9/1/2017,146.1078
10/1/2017,149.3223
11/1/2017,155.4806
12/1/2017,154.5212
1/1/2018,153.8106
2/1/2018,157.7185
3/1/2018,161.0079
4/1/2018,161.2218
5/1/2018,161.055
6/1/2018,164.2741
7/1/2018,168.3318
8/1/2018,174.3154
9/1/2018,176.5566
10/1/2018,177.9179
11/1/2018,183.568
12/1/2018,184.1394
1/1/2019,182.5539
2/1/2019,178.5425
3/1/2019,181.9135
4/1/2019,185.4442
5/1/2019,185.3024
6/1/2019,184.5004
7/1/2019,180.9338
8/1/2019,189.656
9/1/2019,190.6873
10/1/2019,192.9202
11/1/2019,196.6058
